PID,i_artemether_F1_indiv,i_artemether_KTR,total_mg_dose_per_occassion,TVCL,CL,TVV2,V2, i_artemether_k20 (CL/V2)
0,-0.559492,8.14664,40,40.1385,40.1385,53.1959,60.0274,0.45
1,0.461371,8.14664,40,40.1385,40.1385,53.1959,50.4859,0.45
2,-0.956034,8.14664,40,40.1385,40.1385,53.1959,50.9949,0.45
3,0.311423,8.14664,40,40.1385,40.1385,53.1959,55.0597,0.45
4,0.875456,8.14664,40,40.1385,40.1385,53.1959,71.825,0.45
5,-0.645071,8.14664,40,40.1385,40.1385,53.1959,42.8874,0.45
6,0.414959,8.14664,40,40.1385,40.1385,53.1959,56.722,0.45
7,-1.02556,8.14664,40,40.1385,40.1385,53.1959,59.304,0.45
8,-0.550604,8.14664,40,40.1385,40.1385,53.1959,52.2955,0.45
9,1.10217,8.14664,40,40.1385,40.1385,53.1959,57.4329,0.45
10,0.158351,8.14664,40,40.1385,40.1385,53.1959,67.0954,0.45
11,-1.14171,8.14664,40,40.1385,40.1385,53.1959,56.6709,0.45
12,-0.723015,8.14664,40,40.1385,40.1385,53.1959,49.5578,0.45
13,-0.515866,8.14664,40,40.1385,40.1385,53.1959,68.6833,0.45
14,1.08594,8.14664,40,40.1385,40.1385,53.1959,52.9882,0.45
15,0.502295,8.14664,40,40.1385,40.1385,53.1959,67.2522,0.45
16,-1.49346,8.14664,40,40.1385,40.1385,53.1959,60.8995,0.45
17,0.00558866,8.14664,40,40.1385,40.1385,53.1959,49.5579,0.45
18,-0.445046,8.14664,40,40.1385,40.1385,53.1959,63.2039,0.45
19,0.795908,8.14664,40,40.1385,40.1385,53.1959,50.3761,0.45
20,0.480957,8.14664,40,40.1385,40.1385,53.1959,46.8951,0.45
21,-0.997415,8.14664,40,40.1385,40.1385,53.1959,62.3586,0.45
22,0.487399,8.14664,40,40.1385,40.1385,53.1959,53.9961,0.45
23,2.12373,8.14664,40,40.1385,40.1385,53.1959,55.2045,0.45
24,-0.0523141,8.14664,40,40.1385,40.1385,53.1959,52.7969,0.45
25,1.1868,8.14664,40,40.1385,40.1385,53.1959,58.2236,0.45
26,0.105091,8.14664,40,40.1385,40.1385,53.1959,51.33,0.45
27,0.227355,8.14664,40,40.1385,40.1385,53.1959,54.683,0.45
28,-0.355344,8.14664,40,40.1385,40.1385,53.1959,58.2827,0.45
29,0.80739,8.14664,40,40.1385,40.1385,53.1959,55.4458,0.45
30,-0.362132,8.14664,40,40.1385,40.1385,53.1959,43.5445,0.45
31,0.0479698,8.14664,40,40.1385,40.1385,53.1959,54.7228,0.45
